"CollectionName","Identifier","ImageUniqueID","ImageDescription","Photographer","Contributor","DateTimeOriginal","DateTimeDigitized","LocationShownCountryName","LocationShownSublocation","GPSLongitude","GPSLongitudeRef","GPSLatitude","GPSLatitudeRef","WaterDepth","Copyright","Source","UserComment"
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db810","80fee278-7ab3-4b47-8914-7fee85256268","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:12:06 00:00:00","2013:10:03 13:26:00","Jamaica","Jamaica | Discovery Bay | Eaton Hall",77.334,"W",18.467,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db811","f447d184-269f-43cc-8a8d-089041075724","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:28:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db812","2403fa2b-59a4-4b63-8706-07080dad9544","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:30:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db813","5521bdc9-a937-4ef6-b0c2-22c91a7d4f49","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:31:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db814","2370c0d8-ce09-406a-b7af-283c3c6b99d5","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:33:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db815","8a16aa1e-4a62-4e5b-9c9e-205550c6ede9","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:35:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db816","f65ffdb1-793a-4786-93f5-49d03cface03","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:56:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db817","bf3c7948-ffe1-4928-8407-2985f00bbaa0","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:58:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db818","5cde55b5-e789-4085-b9a6-b8357bd6087a","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 13:59:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db819","5b4bb700-0192-437c-8cfc-27f017912286","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:03 14:01:00","Jamaica","Jamaica | Discovery Bay | Buoy Deep",77.40908,"W",18.47325,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
